time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
39,30.60906800,-96.31598630,11,66.20000,1.15508,17,13
1039,30.60906290,-96.31598820,9,66.20000,0.78202,17,13
2092,30.60907210,-96.31600420,10,66.20000,0.66038,17,13
3141,30.60908290,-96.31601550,10,66.20000,1.00111,17,12
4141,30.60909000,-96.31602190,10,66.20000,0.99314,17,12
5191,30.60909370,-96.31602450,13,66.20000,0.79461,17,12
6189,30.60909500,-96.31602490,13,66.20000,0.54490,17,12
7190,30.60909780,-96.31601770,15,66.20000,0.28606,17,12
8190,30.60909760,-96.31601510,15,66.20000,0.20394,17,12
9189,30.60909720,-96.31601360,15,66.20000,0.14821,17,12
10191,30.60909670,-96.31601290,15,66.20000,0.10353,17,12
11190,30.60909620,-96.31601270,15,66.20000,0.06832,17,10
12188,30.60909590,-96.31601270,15,66.20000,0.04265,17,10
13189,30.60909570,-96.31601290,15,66.20000,0.02422,17,10
14190,30.60909560,-96.31601310,15,66.20000,0.01486,17,10
15190,30.60909550,-96.31601330,15,66.20000,0.01292,17,10
16188,30.60906040,-96.31599280,13,66.20000,1.66732,17,9
17190,30.60905530,-96.31599000,11,66.20000,1.05155,17,10
18190,30.60905530,-96.31599000,8,66.20000,0.43051,17,10
19241,30.60905630,-96.31599060,6,66.20000,0.10487,17,11
20242,30.60905700,-96.31599110,4,66.20000,0.00622,17,10
21242,30.60905740,-96.31599130,4,65.70000,0.05130,17,12
22289,30.60905730,-96.31599130,4,65.70000,0.03075,17,9
23289,30.60905730,-96.31599130,4,65.70000,0.00933,16,10
24290,30.60905730,-96.31599130,4,65.70000,0.00689,17,10
25341,30.60905730,-96.31599130,4,65.70000,0.00340,17,9
26389,30.60905700,-96.31599110,4,65.70000,0.02531,17,9
27389,30.60907260,-96.31600170,8,66.20000,0.85731,17,9
28389,30.60908420,-96.31600960,9,66.20000,1.10684,17,10
29390,30.60909050,-96.31601390,11,66.20000,0.99612,17,9
30390,30.60909270,-96.31601550,12,66.20000,0.73416,17,9
31440,30.60909280,-96.31601550,13,66.20000,0.46014,17,9
32442,30.60909550,-96.31601690,15,65.50000,0.31507,17,10
33439,30.60909540,-96.31601680,15,65.50000,0.19691,17,11
34444,30.60909490,-96.31601650,15,65.50000,0.10445,17,12
35489,30.60909450,-96.31601620,15,65.50000,0.04369,17,10
36491,30.60909410,-96.31601590,15,65.50000,0.00734,17,10
37490,30.60905790,-96.31599180,14,65.50000,1.18287,17,10
38489,30.60905380,-96.31598900,13,65.50000,0.90692,17,9
39490,30.60905320,-96.31598850,12,65.50000,0.54504,17,11
40490,30.60905400,-96.31598920,11,65.50000,0.24887,17,12
41490,30.60905540,-96.31598950,11,65.50000,0.07187,17,13
42490,30.60908250,-96.31600660,12,65.70000,1.11701,16,12
43490,30.60909300,-96.31601330,12,65.70000,1.19421,17,11
44490,30.60909780,-96.31601650,13,65.70000,0.98101,17,12
45488,30.60909920,-96.31601740,14,65.70000,0.67925,17,11
46490,30.60909870,-96.31601710,14,65.70000,0.39914,17,11
47490,30.60910020,-96.31601290,15,66.20000,0.22220,17,11
48490,30.60909990,-96.31601150,15,66.20000,0.14204,17,11
49544,30.60909950,-96.31601050,15,66.20000,0.09730,17,10
50541,30.60909910,-96.31601010,15,66.20000,0.06569,17,11
51540,30.60909870,-96.31600990,15,66.20000,0.04555,17,10
52590,30.60909850,-96.31600990,15,66.20000,0.03045,17,11
53639,30.60909840,-96.31600960,15,66.20000,0.02746,17,10
54640,30.60909830,-96.31600960,15,66.20000,0.02123,17,10
55640,30.60909830,-96.31600950,15,66.20000,0.01585,17,9
56641,30.60909550,-96.31601300,15,65.60000,0.00125,17,10
57689,30.60909540,-96.31601310,15,65.60000,0.00290,17,9
58689,30.60909540,-96.31601310,15,65.60000,0.00354,17,9
59691,30.60909530,-96.31601320,15,65.60000,0.00754,17,10
60689,30.60909530,-96.31601330,15,65.60000,0.00971,17,10
61740,30.60906600,-96.31599470,14,65.60000,1.42823,17,10
62742,30.60908110,-96.31600560,14,65.60000,0.04531,17,11
63742,30.60909050,-96.31601240,14,65.60000,0.45786,17,11
64791,30.60909640,-96.31601650,14,65.60000,0.57258,17,11
65789,30.60909930,-96.31601870,14,65.60000,0.50041,17,11
